langue,degree,uni,loc,date,details
fr,Implémenter un data warehouse avec SQL Server,CEGOS,"Paris, France",Déc. 2022 (5j),"Infrastructure, Conception et Implémentation, ETL, Qualité des données, Déploiement et Utilisation"
fr,Master 2 en ingénierie mathématique appliquée aux sciences du vivant,Université de Paris,"Paris, France",Sept. 2016 - Sept. 2017,"Mathématiques appliquées, Biostatistiques, Programmation, Base de données, Recueil de données"
fr,"Licence mathématiques, parcours modélisation et simulation",Université de Paris,"Paris, France",Sept. 2014 - Sept. 2015,"Mathématiques, Probabilités, Statistiques"
en,Implementing a data warehouse with SQL Server,CEGOS, "Paris, France",Dec. 2022 (5j), "Infrastructure, Design and Implementation, ETL, Data Quality, Deployment and Use"
en,M.S. in Mathematical engineering applied to life sciences,University of Paris,"Paris, France",Sept. 2016 - Sept. 2017,"Applied mathematics, Biostatistics, Programming, Database, Data collection"
en,"Bachelor’s degree in mathematics, course in modeling and stimulation",University of Paris,"Paris, France",Sept. 2014 - Sept. 2015,"Mathematics, Probabilities, Statistics"
