langue,role,company,loc,date,details
fr,Data scientist,ARRAMIS,"Jouy en Josas, France",Août 2019 - Oct. 2019,Création et administration serveur EC2 AWS
fr,Data scientist,ARRAMIS,"Jouy en Josas, France",Août 2019 - Oct. 2019,Installation des logiciels Limesurvey and Rstudio server
fr,Data scientist,ARRAMIS,"Jouy en Josas, France",Août 2019 - Oct. 2019,Création de 8 questionnaires DELPHI
fr,Data scientist,ARRAMIS,"Jouy en Josas, France",Août 2019 - Oct. 2019,Analyse de données
en,Data scientist,ARRAMIS,"Jouy en Josas, France",Aug. 2019 – Oct. 2019,Creation and administration of EC2 AWS server
en,Data scientist,ARRAMIS,"Jouy en Josas, France",Aug. 2019 – Oct. 2019,Installation of Limesurvey and Rstudio server software
en,Data scientist,ARRAMIS,"Jouy en Josas, France",Aug. 2019 – Oct. 2019,Creation of 8 DELPHI questionnaires
en,Data scientist,ARRAMIS,"Jouy en Josas, France",Aug. 2019 – Oct. 2019,Data analysis
